cui	drugbank_id
UMLS:C0877812	DB00131
UMLS:C4256150	DB00131
UMLS:C0051405	DB00132
UMLS:C0125903	DB00132
UMLS:C0036720	DB00133
UMLS:C0025646	DB00134
UMLS:C0041485	DB00135
UMLS:C0006674	DB00136
UMLS:C0043328	DB00137
UMLS:C0949636	DB00137
UMLS:C0010682	DB00138
UMLS:C0075429	DB00139
UMLS:C0220918	DB00139
UMLS:C0035527	DB00140
UMLS:C0001056	DB00141
UMLS:C0061472	DB00142
UMLS:C0220839	DB00142
UMLS:C0017817	DB00143
UMLS:C0034917	DB00143
UMLS:C0301704	DB00144
UMLS:C0017890	DB00145
UMLS:C4256149	DB00145
UMLS:C0006657	DB00146
UMLS:C2713074	DB00146
UMLS:C0034263	DB00147
UMLS:C0010286	DB00148
UMLS:C0023401	DB00149
UMLS:C0041249	DB00150
UMLS:C0010654	DB00151
UMLS:C0039840	DB00152
UMLS:C0014695	DB00153
UMLS:C0000658	DB00154
UMLS:C0008864	DB00155
UMLS:C0040005	DB00156
UMLS:C0027289	DB00157
UMLS:C0016410	DB00158
UMLS:C0178638	DB00158
UMLS:C0699376	DB00158
UMLS:C4256148	DB00158
UMLS:C0000545	DB00159
UMLS:C0001898	DB00160
UMLS:C0042285	DB00161
UMLS:C0087161	DB00162
UMLS:C0042874	DB00163
UMLS:C0969677	DB00163
UMLS:C0034272	DB00165
UMLS:C0087162	DB00165
UMLS:C0023791	DB00166
UMLS:C3643437	DB00166
UMLS:C0022192	DB00167
UMLS:C0003999	DB00168
UMLS:C0008318	DB00169
UMLS:C0025270	DB00170
UMLS:C0001480	DB00171
UMLS:C0033382	DB00172
UMLS:C0001407	DB00173
UMLS:C0003995	DB00174
UMLS:C0085542	DB00175
UMLS:C0085228	DB00176
UMLS:C0216784	DB00177
UMLS:C0719949	DB00177
UMLS:C0072973	DB00178
UMLS:C0878061	DB00178
UMLS:C0733397	DB00179
UMLS:C0060501	DB00180
UMLS:C1646276	DB00180
UMLS:C0004609	DB00181
UMLS:C4256145	DB00181
UMLS:C0002658	DB00182
UMLS:C0301063	DB00182
UMLS:C0030859	DB00183
UMLS:C0028040	DB00184
UMLS:C0068722	DB00184
UMLS:C4490579	DB00184
UMLS:C0093437	DB00185
UMLS:C0245634	DB00185
UMLS:C0024002	DB00186
UMLS:C0116569	DB00187
UMLS:C1176309	DB00188
UMLS:C0014987	DB00189
UMLS:C0701980	DB00189
UMLS:C0006982	DB00190
UMLS:C0031447	DB00191
UMLS:C0724659	DB00191
UMLS:C0063455	DB00192
UMLS:C0040610	DB00193
UMLS:C0042646	DB00194
UMLS:C0005320	DB00195
UMLS:C0016277	DB00196
UMLS:C0699601	DB00196
UMLS:C4082694	DB00196
UMLS:C4256143	DB00196
UMLS:C4256144	DB00196
UMLS:C0245514	DB00197
UMLS:C0874161	DB00198
UMLS:C0014806	DB00199
UMLS:C0600214	DB00199
UMLS:C0020316	DB00200
UMLS:C4256142	DB00200
UMLS:C0006644	DB00201
UMLS:C1170114	DB00201
UMLS:C0038627	DB00202
UMLS:C0529793	DB00203
UMLS:C0114771	DB00204
UMLS:C0034283	DB00205
UMLS:C4256138	DB00205
UMLS:C4256139	DB00205
UMLS:C4256140	DB00205
UMLS:C4256141	DB00205
UMLS:C0035179	DB00206
UMLS:C4256136	DB00206
UMLS:C4256137	DB00206
UMLS:C0052796	DB00207
UMLS:C0040207	DB00208
UMLS:C0772089	DB00209
UMLS:C0165631	DB00210
UMLS:C0593946	DB00210
UMLS:C1529537	DB00210
UMLS:C0026078	DB00211
UMLS:C0209499	DB00212
UMLS:C0081876	DB00213
UMLS:C0076840	DB00214
UMLS:C0243946	DB00214
UMLS:C4256135	DB00214
UMLS:C0008845	DB00215
UMLS:C4082527	DB00215
UMLS:C4256134	DB00215
UMLS:C0759933	DB00216
UMLS:C0005324	DB00217
UMLS:C0536495	DB00218
UMLS:C0030082	DB00219
UMLS:C0525005	DB00220
UMLS:C0022176	DB00221
UMLS:C0061323	DB00222
UMLS:C0304612	DB00223
UMLS:C0376637	DB00224
UMLS:C2697674	DB00224
UMLS:C0082646	DB00225
UMLS:C4256133	DB00225
UMLS:C0061938	DB00226
UMLS:C0024027	DB00227
UMLS:C0728780	DB00227
UMLS:C4256132	DB00227
UMLS:C0014277	DB00228
UMLS:C0594647	DB00228
UMLS:C0701979	DB00228
UMLS:C4256131	DB00228
UMLS:C0007556	DB00229
UMLS:C0657912	DB00230
UMLS:C1570232	DB00230
UMLS:C0039468	DB00231
UMLS:C0723045	DB00231
UMLS:C0025696	DB00232
UMLS:C0728776	DB00232
UMLS:C0030125	DB00233
UMLS:C4256130	DB00233
UMLS:C0168388	DB00234
UMLS:C0128513	DB00235
UMLS:C0031965	DB00236
UMLS:C1519092	DB00236
UMLS:C0006464	DB00237
UMLS:C0719051	DB00237
UMLS:C4082289	DB00237
UMLS:C0132326	DB00238
UMLS:C0728726	DB00238
UMLS:C0069765	DB00239
UMLS:C0360534	DB00240
UMLS:C0054234	DB00241
UMLS:C0092801	DB00242
UMLS:C0073633	DB00243
UMLS:C0127615	DB00244
UMLS:C0253787	DB00244
UMLS:C0678169	DB00244
UMLS:C0678171	DB00244
UMLS:C0678172	DB00244
UMLS:C0699621	DB00244
UMLS:C0699622	DB00244
UMLS:C0699623	DB00244
UMLS:C1563972	DB00244
UMLS:C1873792	DB00244
UMLS:C4083158	DB00244
UMLS:C4256129	DB00244
UMLS:C0005098	DB00245
UMLS:C0380393	DB00246
UMLS:C0025842	DB00247
UMLS:C0616472	DB00247
UMLS:C0616474	DB00247
UMLS:C0107994	DB00248
UMLS:C0020811	DB00249
UMLS:C0010980	DB00250
UMLS:C0076115	DB00251
UMLS:C0723648	DB00251
UMLS:C0031507	DB00252
UMLS:C0065865	DB00253
UMLS:C0013090	DB00254
UMLS:C2699808	DB00254
UMLS:C0012203	DB00255
UMLS:C1511924	DB00255
UMLS:C0024200	DB00256
UMLS:C0009074	DB00257
UMLS:C0699670	DB00257
UMLS:C0699671	DB00257
UMLS:C0717537	DB00258
UMLS:C0038702	DB00259
UMLS:C4256125	DB00259
UMLS:C4256126	DB00259
UMLS:C0010590	DB00260
UMLS:C0701966	DB00260
UMLS:C4255549	DB00260
UMLS:C4256123	DB00260
UMLS:C4256124	DB00260
UMLS:C0051809	DB00261
UMLS:C0007257	DB00262
UMLS:C0720676	DB00262
UMLS:C1145713	DB00262
UMLS:C1516302	DB00262
UMLS:C0038745	DB00263
UMLS:C0025859	DB00264
UMLS:C0056519	DB00265
UMLS:C0699631	DB00265
UMLS:C0005640	DB00266
UMLS:C0007549	DB00267
UMLS:C0244821	DB00268
UMLS:C0008275	DB00269
UMLS:C0071304	DB00270
UMLS:C0813618	DB00270
UMLS:C0002496	DB00271
UMLS:C0012004	DB00271
UMLS:C0022034	DB00271
UMLS:C0147942	DB00271
UMLS:C0733899	DB00271
UMLS:C4082380	DB00271
UMLS:C4082381	DB00271
UMLS:C0005321	DB00272
UMLS:C0076829	DB00273
UMLS:C0127173	DB00273
UMLS:C0723778	DB00273
UMLS:C4256122	DB00273
UMLS:C0007550	DB00274
UMLS:C1098320	DB00275
UMLS:C0002699	DB00276
UMLS:C0039771	DB00277
UMLS:C0304441	DB00277
UMLS:C0048470	DB00278
UMLS:C0041014	DB00279
UMLS:C0592174	DB00279
UMLS:C4256121	DB00279
UMLS:C0012702	DB00280
UMLS:C0023660	DB00281
UMLS:C0043603	DB00282
UMLS:C3714572	DB00282
UMLS:C4256120	DB00282
UMLS:C0008929	DB00283
UMLS:C0050393	DB00284
UMLS:C0078569	DB00285
UMLS:C4256119	DB00285
UMLS:C0014938	DB00286
UMLS:C0937916	DB00287
UMLS:C0939506	DB00287
UMLS:C1815442	DB00287
UMLS:C0051556	DB00288
UMLS:C0076823	DB00289
UMLS:C0005736	DB00290
UMLS:C0005740	DB00290
UMLS:C1511217	DB00290
UMLS:C1589326	DB00290
UMLS:C0008163	DB00291
UMLS:C0699996	DB00291
UMLS:C1516481	DB00291
UMLS:C0015131	DB00292
UMLS:C0677667	DB00293
UMLS:C0878095	DB00293
UMLS:C0047683	DB00294
UMLS:C0026549	DB00295
UMLS:C0073571	DB00296
UMLS:C0006400	DB00297
UMLS:C0057143	DB00298
UMLS:C0164815	DB00299
UMLS:C0673857	DB00300
UMLS:C0963398	DB00300
UMLS:C0016267	DB00301
UMLS:C0543424	DB00301
UMLS:C0040613	DB00302
UMLS:C0591311	DB00302
UMLS:C1120106	DB00303
UMLS:C0057558	DB00304
UMLS:C1569281	DB00304
UMLS:C0002475	DB00305
UMLS:C0702049	DB00305
UMLS:C0702050	DB00305
UMLS:C0702051	DB00305
UMLS:C0301407	DB00306
UMLS:C4256115	DB00306
UMLS:C0765273	DB00307
UMLS:C4256113	DB00307
UMLS:C4256114	DB00307
UMLS:C0082966	DB00308
UMLS:C0042682	DB00309
UMLS:C0008294	DB00310
UMLS:C0015052	DB00311
UMLS:C0030883	DB00312
UMLS:C0702208	DB00312
UMLS:C4256112	DB00312
UMLS:C0042291	DB00313
UMLS:C0080356	DB00313
UMLS:C0262964	DB00314
UMLS:C0289361	DB00315
UMLS:C0528166	DB00315
UMLS:C0594405	DB00315
UMLS:C0000970	DB00316
UMLS:C1258986	DB00316
UMLS:C0879396	DB00317
UMLS:C0919281	DB00317
UMLS:C1122962	DB00317
UMLS:C0009214	DB00318
UMLS:C0770426	DB00318
UMLS:C3848586	DB00318
UMLS:C0031955	DB00319
UMLS:C1882383	DB00319
UMLS:C0012291	DB00320
UMLS:C0002600	DB00321
UMLS:C0016343	DB00322
UMLS:C0246330	DB00323
UMLS:C0016351	DB00324
UMLS:C0720477	DB00324
UMLS:C1883706	DB00324
UMLS:C4256111	DB00324
UMLS:C0028193	DB00325
UMLS:C0108111	DB00326
UMLS:C3178645	DB00326
UMLS:C0012306	DB00327
UMLS:C1512536	DB00327
UMLS:C0021246	DB00328
UMLS:C0700798	DB00328
UMLS:C4256110	DB00328
UMLS:C0014964	DB00330
UMLS:C0025598	DB00331
UMLS:C4256108	DB00331
UMLS:C4256109	DB00331
UMLS:C0700580	DB00332
